subject,mission,mode,HR,HRV,nav,tank,space,trees,nbAOI1,nbAOI2,nbAOI3,nbAOI4,nbAOI5,durAOI1,durAOI2,durAOI3,durAOI4,durAOI5,tank_local_score,HRnorm,label
19.0,2.0,0.0,73.2421875,-0.11018319072561501,14.0,0.0,0.0,0.0,0.0,4.0,10.0,7.0,15.0,0.0,412.00199999999995,1603.7580000000007,1759.8049999999996,2923.83,4.094999999999992,9.733322720957922,1.0
19.0,2.0,1.0,79.01352807374596,-0.10985265990669853,4.0,6.0,2.0,1.0,0.0,15.0,10.0,2.0,1.0,0.0,3862.673,1464.0179999999998,272.0,275.86,-8.889000000000003,15.504663294703882,1.0
19.0,2.0,0.0,73.22431047107641,-0.11541202489656882,12.0,8.0,0.0,0.0,0.0,10.0,5.0,8.0,4.0,0.0,3555.58,635.852,2731.637,571.992,14.697999999999993,9.715445692034331,1.0
19.0,2.0,0.0,72.17610970768676,-0.1130056010434271,41.0,0.0,0.0,0.0,0.0,3.0,19.0,9.0,8.0,0.0,331.902,4383.54,1427.682,1087.9660000000001,-2.3329999999999984,8.667244928644685,1.0
19.0,2.0,1.0,69.37218175511619,0.030158721566727862,5.0,4.0,0.0,0.0,0.0,14.0,5.0,0.0,0.0,0.0,4207.583000000001,2387.65,0.0,0.0,-3.3339999999999956,5.863316976074111,1.0
19.0,2.0,0.0,73.01935012778387,-0.1084104923686564,27.0,4.0,0.0,0.0,0.0,15.0,10.0,8.0,3.0,0.0,3843.34,1975.89,3079.74,727.91,14.667000000000002,9.510485348741804,1.0
19.0,2.0,0.0,77.21014026508816,-0.12197946095138973,35.0,0.0,0.0,0.0,0.0,8.0,15.0,9.0,9.0,0.0,1135.8719999999996,3759.793,1999.7,1387.376,-7.3329999999999975,13.70127548604608,1.0
19.0,2.0,1.0,75.39582809751194,-0.13608733522651772,0.0,10.0,0.0,0.0,0.0,22.0,2.0,0.0,7.0,0.0,5771.701000000001,240.0,0.0,1431.974,-1.0319999999999965,11.88696331846986,1.0
19.0,2.0,1.0,72.94832826747721,-0.1219620809523594,0.0,9.0,0.0,0.0,0.0,19.0,1.0,0.0,2.0,0.0,8011.4,168.0,0.0,368.04,25.548,9.439463488435116,1.0
19.0,2.0,0.0,74.64543418760886,-0.12687564161904494,1.0,6.0,0.0,0.0,0.0,20.0,3.0,2.0,1.0,0.0,6799.285,943.89,391.98,228.0,-75.318,11.136569408566778,1.0
19.0,2.0,1.0,76.56612529002321,-0.05610054445160098,10.0,5.0,0.0,1.0,0.0,18.0,4.0,6.0,3.0,0.0,4967.896,580.007,1616.38,363.926,4.087,13.057260510981116,1.0
19.0,2.0,0.0,72.5513905683192,-0.06724025104724138,28.0,0.0,0.0,0.0,0.0,6.0,22.0,6.0,5.0,0.0,1047.89,2888.5640000000003,1232.04,1747.83,9.284999999999997,9.042525789277127,1.0
19.0,2.0,1.0,69.856793573175,-0.08084085369246563,6.0,3.0,0.0,1.0,0.0,17.0,12.0,2.0,6.0,0.0,4115.709,1983.8,379.9,1083.975,-4.334000000000009,6.347928794132919,1.0
19.0,2.0,1.0,66.23247599072744,-0.07805669599505434,0.0,9.0,0.0,0.0,0.0,25.0,0.0,0.0,6.0,0.0,7639.2,0.0,0.0,1036.038,13.142000000000005,2.723611211685359,1.0
19.0,2.0,1.0,69.24408540103866,-0.11087618505467532,0.0,9.0,0.0,1.0,0.0,20.0,2.0,1.0,5.0,0.0,6567.670000000001,307.85,232.0,1276.01,23.523999999999994,5.735220621996581,1.0
